CodeListIdentifier;VersionIdentifier;ScCode;TaxonomyCode;LatinName;ParentReference;AuthorName;CodeReference;StancodeKeyUniqueIdentifier;StancodeGuidKey;StancodeKeyReference;ReferenceTypeName;LastUpdateDate;CreationDate;ApplicantIdentificationText;ParentStancodeKeyReference
1064;1;28;309010702800;Ceramium strictum;0;Harv.;26;1030033;23aae201-017f-47a4-ab74-2044d5d82ab6;1030033;Reference;27-02-2021 07:07:05;07-02-2018 09:20:53;Standatsekretariatet - DCE;
1064;1;29;801010000000;Ectocarpaceae;0;;29;1030034;a82ed1a5-ca44-4d95-8397-92e936f69a5f;1030034;Valid;07-02-2018 09:20:53;07-02-2018 09:20:53;Standatsekretariatet - DCE;
1064;1;30;801010400000;Ectocarpus;0;Lyngb.;30;1030035;c2ccd222-08cc-4d17-a2e2-a94689d74680;1030035;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;31;801010400100;Ectocarpus siliculosus;0;(Dillwyn) Lyngb.;31;1030036;e7ea6941-08ef-46cf-aa7f-d41542e3c011;1030036;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;32;801020300000;Pilayella;0;Bory;8376;1030037;06946ba4-416d-433c-945c-035a4a4ffa20;1030037;Reference;04-12-2020 08:28:08;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;33;801020300100;Pilayella littoralis;0;(L.) Kjellm.;8195;1030038;48bcf6fb-ca1a-46e0-a795-8e4c99acd684;1030038;Reference;04-12-2020 08:22:02;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;34;801030000000;Fucaceae;0;;34;1030039;ff67bfd8-159b-42fe-86a6-1135d714a0a1;1030039;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;35;801030100000;Fucus;0;;35;1030040;032458ab-6ddc-473a-a475-92b3536abfc4;1030040;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;36;801030100100;Fucus vesiculosus;0;;36;1030041;2288d9d2-b57d-4584-82c7-6b0220849544;1030041;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;37;1000000000000;Xanthophyceae indet.;0;;37;1030042;1c9a8196-3ec6-4177-badb-58a0c1ae38ed;1030042;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;38;1004000000000;Vaucheria;0;;38;1030043;d1643b68-93e7-46f1-bdff-e780368240f5;1030043;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;39;1500000000000;Chlorophyceae indet.;0;;39;1030044;639b6fb3-48e7-4fd4-ac48-ce1ee3a6ee1e;1030044;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;40;1502010000000;Hydrodictyaceae;0;;40;1030045;790d112c-6418-4288-a03a-2e7d4e4b866f;1030045;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;41;1502010100000;Hydrodictyon;0;Roth;41;1030046;d317d91a-b1b8-4c1e-ab78-238709628407;1030046;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;42;1502010100100;Hydrodictyon reticulatum;0;(L.) Lagerh.;42;1030047;76120d6a-4c84-4af5-ab91-c8a1c1a4bf90;1030047;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;43;1503010000000;Stigeoclonium;0;Küntz.;43;1030048;42181c2d-1ee6-4b8c-a5bd-bbe5648a2cac;1030048;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;44;1503010100000;Stigeocloniumceae;0;;44;1030049;d682e65d-330e-49e3-acef-87b35be76ac6;1030049;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;45;1504010000000;Ulotrichaceae;0;;45;1030050;471ee910-fbfa-432e-9ead-18bcabd612ee;1030050;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;46;1504010100000;Ulotrix;0;Küntz.;46;1030051;badfbcbd-3f89-46dc-b107-523500d1463c;1030051;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;47;1505010000000;Ulvaceae;0;;47;1030052;aa284499-1f1d-4d62-a2eb-0ef4843e290d;1030052;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;48;1505010100000;Enteromorpha;0;Link;48;1030053;9bce7049-d9eb-45e7-913a-971969f88c2d;1030053;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;49;1505010100300;Enteromorpha flexuosa;0;(Wulff) J. Agardh;49;1030054;77aae87e-6ba5-419f-8fc9-15242b707f68;1030054;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;50;1505010100800;Enteromorpha intestinalis;0;(L.) Link;50;1030055;53646d1f-8490-43ed-8f41-de59eb5e35f3;1030055;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;51;1505010200000;Ulva;0;;51;1030056;9e8d9605-e20b-4275-92d4-d1078da8798c;1030056;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;52;1505010200100;Ulva lactuca;0;;52;1030057;91680f6c-05b6-49af-bed6-171af2aec085;1030057;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;53;1505010300000;Ulvaria;0;;53;1030058;72c670ee-3dfa-44c0-bd93-5c7b8f2ed37f;1030058;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;54;1505010300100;Ulvaria fusca;0;(Postels & Rupr.) Rupr.;54;1030059;f0a669e7-7619-436c-9bab-51a9e7a8737b;1030059;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;55;1506010000000;Chaetophoraceae;0;;55;1030060;8187f623-d0a3-4c57-807d-622b128acc2c;1030060;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;56;1506010050000;Chaetophora;0;Kirby & Spence;56;1030061;36e8e66b-8e33-42a0-812a-56eb0208a05b;1030061;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;57;1506010050100;Chaetophora elegans;0;(Roth.) J. Agardh;57;1030062;04483e1e-acfe-423e-b772-741aeb7cc3f4;1030062;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;58;1506010100000;Draparnaldia;0;;58;1030063;94e79b30-76a4-49fd-afa7-5ca8d7e1183e;1030063;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;59;1506010100030;Draparnaldia mutabilis;0;(Roth) Cedergren;59;1030064;bb0c78a6-e360-4a79-b251-55a1b161c195;1030064;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;60;1508000000000;Zygnemataceae;0;;60;1030065;8d6ba1ae-26c8-45fd-8b1c-469c1b4ad858;1030065;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;61;1508000100000;Spirogyra;0;Link;61;1030066;a9601bcd-e429-4d5b-9acf-20dbac4c85bf;1030066;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;62;1508000200000;Mougeotia;0;C. Agardh;62;1030067;c7b2c927-d3a3-4367-9472-dada14c12a70;1030067;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;63;1509010000000;Oedogoniaceae;0;;63;1030068;4382623b-0713-413d-9974-9639bb512ca1;1030068;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;64;1509010200000;Oedogonium;0;Link;64;1030069;43e91ffd-4669-4c15-8813-e76b853dd6a7;1030069;Valid;07-02-2018 09:20:54;07-02-2018 09:20:54;Standatsekretariatet - DCE;
1064;1;65;1510000000000;Siphonocladales;0;;65;1030070;34ad4ce7-e4dd-4a4b-adc8-e35af4dcf8af;1030070;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;66;1510010000000;Cladophoraceae;0;;66;1030071;b08ec90a-19b5-45df-81e9-b41213949fd3;1030071;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;67;1510010100000;Chaetomorpha;0;Küntz.;67;1030072;fa0743c5-4316-4dd5-8bf7-3d61cbafffb2;1030072;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;68;1510010100300;Chaetomorpha linum;0;(O.F. Müll.) Kütz.;68;1030073;e630f731-c4a8-4eee-b075-fe5134717e6d;1030073;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;69;1510010200000;Cladophora;0;Kütz.;69;1030074;26961e1e-41c1-48fb-9997-f4adb9321abe;1030074;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
