stancode,latin,danish
183,Frullaniaceae,-
184,Frullania,-
185,Frullania dilatata,Mat bronzemos
186,Frullania fragilifolia,Skør bronzemos
187,Frullania tamarisci,Glinsende bronzemos
188,Gymnomitriaceae,-
189,Marsupella,-
190,Marsupella emarginata,Udrandet kortsvøb
191,Marsupella funckii,Lappet kortsvøb
192,Haplomitriaceae,-
193,Haplomitrium,-
194,Haplomitrium hookeri,Sand-bægerløs
195,Jungermanniaceae,-
196,Anastrophyllum,-
197,Anastrophyllum hellerianum,Dværg-rendeblad
198,Anastrophyllum minutum var. weberi,Liden rendeblad (varietet)
199,Barbilophozia,-
200,Gymnocolea,-
201,Gymnocolea inflata,Opblæst blæremos
202,Jamesoniella,-
203,Jamesoniella autumnalis,Høst-tandsvøb
204,Jamesoniella undulifolia,Bølgebladet tandsvøb
205,Jungermannia,-
206,Jungermannia caespiticia,Tæt rørmund
207,Jungermannia gracillima,Vinget rørmund
208,Jungermannia hyalina,Snoet rørmund
209,Jungermannia jenseniana,Nyrebladet rørmund
210,Jungermannia lanceolata,-
211,Lophozia,-
212,Lophozia alpestris,Spidsbladet rørbæger
213,Lophozia atlantica,Atlantisk flerfligmos
214,Lophozia attenuata,Tynd flerfligmos
215,Lophozia badensis,Liden rørbæger
216,Lophozia barbata,Skægget flerfligmos
217,Lophozia bicrenata,Sand-foldbæger
218,Lophozia capitata,Rød foldbæger
219,Lophozia excisa,Tandet foldbæger
220,Lophozia floerkei,Kortfliget flerfligmos
221,Lophozia grandiretis,Mørkstænglet foldbæger
222,Lophozia hatcheri,Spidsfliget flerfligmos
223,Lophozia heterocolpos,Brunkornet rørbæger
224,Lophozia incisa,Kruset foldbæger
225,Lophozia kunzeana,Tofliget flerfligmos
226,Lophozia laxa,Mose-foldbæger
227,Lophozia lycopodioides,Ulvefod-flerfligmos
228,Lophozia personii,-
229,Lophozia rutheana,Rødbrun rørbæger
230,Lophozia sudetica,Rødkornet foldbæger
231,Lophozia ventricosa var. silvicola,-
