stancode,latin,danish
2024,Cerastium glomeratum,Opret hønsetarm
2025,Cerastium semidecandrum,Femhannet hønsetarm
2026,Cerastium semidecandrum x subtetrandrum,-
2027,Cerastium pumilum,Liden hønsetarm
2028,Cerastium pumilum subsp. pumilum,-
2029,Cerastium glutinosum,Klæbrig hønsetarm
2030,Cerastium glutinosum x semidecandrum,-
2031,Cerastium glutinosum x subtetrandrum,-
2032,Cerastium diffusum,Firehannet hønsetarm
2033,Cerastium diffusum subsp. diffusum,-
2034,Cerastium diffusum x fontanum,-
2035,Cerastium diffusum x semidecandrum,-
2036,Cerastium subtetrandrum,Øresunds-hønsetarm
2037,Cerastium ligusticum,-
2038,Myosoton,Kløvkroneslægten
2039,Myosoton aquaticum,Kløvkrone
2040,Sagina,Firlingslægten
2041,Sagina nodosa,Knude-firling
2042,Sagina nodosa subsp. nodosa,Sydlig knude-firling
2043,Sagina nodosa subsp. borealis,Nordlig knude-firling
2044,Sagina intermedia,-
2045,Sagina intermedia x saginoides,-
2046,Sagina caespitosa,-
2047,Sagina subulata,Syl-firling
2048,Sagina subulata cv. hortensis,-
2049,Sagina saginoides,-
2050,Sagina procumbens,Almindelig firling
2051,Sagina x normaniana,-
2052,Sagina apetala,Kronløs firling
2053,Sagina ciliata,-
2054,Sagina apetala x procumbens,-
2055,Sagina maritima,Strand-firling
2056,Sagina maritima x procumbens,-
2057,Sagina micropetala,Håret firling
2058,Sagina procumbens x subulata,-
2059,Scleranthus,Knavelslægten
2060,Scleranthus perennis,Flerårig knavel
2061,Scleranthus annuus,Enårig knavel
2062,Scleranthus annuus subsp. annuus,Enårig knavel (underart)
2063,Scleranthus annuus subsp. polycarpos,Bakke-knavel
2064,Scleranthus annuus x perennis,-
2065,Corrigiola,Skoremslægten
2066,Corrigiola litoralis,Skorem
2067,Corrigiola telephiifolia,-
2068,Herniaria,Brudurtslægten
2069,Herniaria glabra,Brudurt
2070,Herniaria ciliolata,-
2071,Herniaria hirsuta,Håret brudurt
2072,Herniaria hirsuta subsp. cinerea,-
2073,Illecebrum,Bruskbægerslægten
2074,Illecebrum verticillatum,Bruskbæger
2075,Spergula,Spergelslægten
2076,Spergula arvensis,Almindelig spergel
2077,Spergula arvensis subsp. arvensis,Almindelig spergel (underart)
2078,Spergula arvensis subsp. maximum,-
2079,Spergula arvensis subsp. linicola,Hør-spergel
2080,Spergula arvensis subsp. sativa,Foder-spergel
2081,Spergula morisonii,Vår-spergel
2082,Spergularia,Hindeknæslægten
2083,Spergularia media,Vingefrøet hindeknæ
2084,Spergularia marina,Kødet hindeknæ
2085,Spergularia rubra,Mark-hindeknæ
2086,Spergularia bocconii,-
2087,Spergularia nicaeensis,-
2088,Lychnis,Trævlekroneslægten
2089,Lychnis chalcedonica,Brændende kærlighed
2090,Lychnis coronaria,Fiksernellike
2091,Lychnis flos-jovis,Jupiterblomst
2092,Lychnis flos-cuculi,Trævlekrone
2093,Viscaria vulgaris,Tjærenellike
2094,Viscaria alpina,-
2095,Lychnis alpina var. alpina,-
2096,Lychnis alpina var. oelandica,-
2097,Lychnis alpina var. serpentinicola,-
2098,Lychnis alpina x vulgaris,-
2099,Agrostemma,Klinteslægten
2100,Agrostemma githago,Klinte
2101,Silene,Limurtslægten
2102,Silene italica,Italiensk limurt
2103,Silene nutans,Nikkende limurt
2104,Silene nutans var. nutans,-
2105,Silene nutans var. glabra,-
2106,Silene viscosa,Klæbrig limurt
2107,Silene tatarica,-
2108,Silene wahlbergella,-
2109,Silene uralensis subsp. apetala,-
2110,Silene uralensis subsp. arctica,-
2111,Silene furcata,-
2112,Silene furcata subsp. furcata,-
2113,Silene furcata subsp. angustiflora,-
2114,Silene otites,Klit-limurt
2115,Silene vulgaris,Blæresmælde
2116,Silene vulgaris subsp. vulgaris,-
2117,Silene maritima,-
2118,Silene uniflora,Strand-limurt
2119,Silene uniflora subsp. uniflora,-
2120,Silene uniflora subsp. petraea,-
2121,Silene acaulis,-
2122,Silene rupestris,-
2123,Atocion armeria,Knippe-limurt
2124,Silene noctiflora,Nat-limurt
2125,Silene latifolia subsp. alba,Aftenpragtstjerne (underart)
2126,Silene dioica x latifolia subsp. alba,-
2127,Silene dioica,Dagpragtstjerne
2128,Silene dioica var. dioica,-
2129,Silene dioica var. crassifolia,-
2130,Silene dioica var. serpentinicola,-
2131,Silene dioica var. smithii,-
2132,Eudianthe coeli-rosa,Himmelrose
2133,Silene pendula,Rød limurt
2134,Silene dichotoma,Gaffel-limurt
2135,Silene gallica,Fransk limurt
2136,Silene conica,Kegle-limurt
2137,Silene csereii,Orientalsk limurt
2138,Silene behen,-
2139,Silene linicola,-
2140,Silene muscipula,-
2141,Silene portensis,-
2142,Silene secundiflora,-
2143,Silene viridiflora,-
2144,Gypsophila,Gipsurtslægten
2145,Gypsophila fastigiata,-
2146,Gypsophila paniculata,Flerårig brudeslør
2147,Gypsophila acutifolia,-
2148,Gypsophila elegans,Enårig brudeslør
2149,Gypsophila muralis,Mur-gipsurt
2150,Gypsophila pilosa,Tyrkisk gipsurt
2151,Gypsophila viscosa,Klæbrig gipsurt
2152,Saponaria,Sæbeurtslægten
2153,Saponaria ocymoides,Lav sæbeurt
2154,Saponaria officinalis,Sæbeurt
2155,Vaccaria,Konellikeslægten
2156,Vaccaria hispanica,Konellike
2157,Petrorhagia,Knopnellikeslægten
2158,Petrorhagia saxifraga,Fjeld-knopnellike
2159,Petrorhagia prolifera,Knopnellike
2160,Dianthus,Nellikeslægten
2161,Dianthus barbatus,Studenter-nellike
2162,Dianthus barbatus x superbus,-
2163,Dianthus arenarius,-
2164,Dianthus arenarius subsp. arenarius,-
2165,Dianthus arenarius subsp. borussicus,-
2166,Dianthus superbus,Strand-nellike
2167,Dianthus deltoides,Bakke-nellike
2168,Dianthus deltoides x superbus,-
2169,Dianthus armeria,Kost-nellike
2170,Dianthus armeria x deltoides,-
2171,Dianthus carthusianorum,Karteuser-nellike
2172,Dianthus seguieri,-
2173,Dianthus seguieri subsp. seguieri,-
2174,Dianthus caryophyllus,Have-nellike
2175,Dianthus cyri,-
2176,Atocion,-
2177,Eudianthe,Himmelroseslægten
2178,Loeflingia,-
2179,Loeflingia baetica,-
2180,Moenchia,-
2181,Moenchia mantica,-
2182,Polycarpon,Mangefrøslægten
2183,Polycarpon tetraphyllum,Firbladet mangefrø
2184,Viscaria,Tjærenellikeslægten
2185,Nyctaginaceae,Trillingrankefamilien
2186,Mirabilis,Vidunderblomstslægten
2187,Mirabilis jalapa,Vidunderblomst
2188,Oxybaphus,-
2189,Mirabilis nuctaginea,-
2190,Phytolaccaceae,Kermesbærfamilien
2191,Phytolacca,Kermesbærslægten
2192,Phytolacca acinosa,Asiatisk kermesbær
2193,Lauraceae,Laurbærfamilien
2194,Persea,Avocadoslægten
2195,Persea americana,Avocado
2196,Ranunculaceae,Ranunkelfamilien
2197,Helleborus,Juleroseslægten
2198,Helleborus foetidus,Stinkende julerose
2199,Helleborus viridis,Grøn julerose
2200,Helleborus niger,Hvid julerose
2201,Helleborus orientalis subsp. orientalis,Storblomstret julerose (underart)
2202,Helleborus orientalis subsp. abchasicus,Rød julerose
2203,Helleborus orientalis subsp. guttatus,Plettet påskeklokke
2204,Eranthis,Vinterblommeslægten
2205,Eranthis hyemalis,Erantis
2206,Eranthis cilicica,Tyrkisk erantis
2207,Nigella,Sortkommenslægten
2208,Nigella arvensis,Ager-sortkommen
2209,Nigella sativa,Sortkommen
2210,Nigella damascena,Jomfru i det grønne
2211,Trollius,Engblommeslægten
2212,Trollius europaeus,Engblomme
2213,Actaea,Druemunkeslægten
2214,Actaea spicata,Druemunke
2215,Actaea erythrocarpa,-
2216,Actaea erythrocarpa x spicata,-
2217,Caltha,Kabbelejeslægten
2218,Caltha palustris,Eng-kabbeleje
2219,Caltha palustris var. palustris,-
2220,Caltha palustris var. radicans,-
2221,Aconitum,Stormhatslægten
2222,Aconitum nasutum,-
2223,Aconitum septentrionale,-
2224,Aconitum orientale,-
2225,Aconitum variegatum,-
2226,Aconitum x stoerkianum,-
2227,Aconitum napellus,-
2228,Aconitum napellus subsp. lusitanicum,Ægte stormhat (underart)
2229,Aconitum vulparia,-
2230,Aconitum reclinatum,-
2231,Delphinium,Ridderspore (Delphinium-slægten)
2232,Delphinium elatum,Staude-ridderspore
2233,Consolida,Ridderspore (Consolida-slægten)
2234,Consolida orientalis,Hyacint-ridderspore
2235,Consolida ambigua,Sommer-ridderspore
2236,Consolida regalis,Korn-ridderspore
2237,Anemone,Anemone (Anemone-slægten)
2238,Anemone nemorosa,Hvid anemone
2239,Anemone nemorosa x ranunculoides,-
2240,Anemone trifolia,-
2241,Anemone ranunculoides,Gul anemone
2242,Anemone apennina,Apenniner-anemone
2243,Anemone apennina var. apennina,Apenniner-anemone (varietet)
2244,Anemone apennina var. pallida,Blegblå anemone
2245,Anemone blanda,Balkan-anemone
2246,Anemone sylvestris,Sommer-anemone
2247,Anemone hupehensis,Høst-anemone
2248,Anemone tomentosa,Sølv-anemone
2249,Hepatica,Anemone (Hepatica-slægten)
2250,Hepatica nobilis,Blå anemone
2251,Hepatica transsilvanica,Ungarsk anemone
2252,Pulsatilla,Kobjældeslægten
2253,Pulsatilla vernalis,Vår-kobjælde
2254,Anemone pulsatilla x vernalis,-
2255,Pulsatilla pratensis,Nikkende kobjælde
2256,Anemone pratensis x pulsatilla,-
2257,Anemone pratensis x vernalis,-
2258,Pulsatilla vulgaris,Opret kobjælde
2259,Pulsatilla vulgaris subsp. vulgaris,-
2260,Anemone pulsatilla var. gotlandica,-
2261,Anemone patens,-
2262,Anemone patens x pratensis,-
2263,Clematis,Skovrankeslægten
2264,Clematis vitalba,Skovranke
2265,Clematis recta,-
2266,Clematis alpina,Alpe-skovranke
2267,Clematis alpina subsp. alpina,-
2268,Clematis alpina subsp. sibirica,-
2269,Clematis orientalis,Østerlandsk skovranke
2270,Clematis tangutica,Gul skovranke
2271,Clematis viticella,Italiensk skovranke
2272,Adonis,Adonisslægten
2273,Adonis vernalis,-
2274,Adonis annua,Høst-adonis
2275,Ranunculus,Ranunkelslægten
2276,Ranunculus grandiflorus,-
2277,Ranunculus polyanthemos,Mangeblomstret ranunkel
2278,Ranunculus polyanthemos subsp. polyanthemos,Mangeblomstret ranunkel (underart)
2279,Ranunculus polyanthemos subsp. nemorosus,Lund-ranunkel
2280,Ranunculus polyanthemos subsp. x polyanthemoides,-
2281,Ranunculus repens,Lav ranunkel
2282,Ranunculus lanuginosus,Uldhåret ranunkel
2283,Ranunculus acris,Bidende ranunkel
2284,Ranunculus acris subsp. acris,Bidende ranunkel (underart)
2285,Ranunculus acris subsp. borealis,-
2286,Ranunculus acris subsp. friesianus,Park-ranunkel
2287,Ranunculus bulbosus,Knold-ranunkel
2288,Ranunculus sardous,Stivhåret ranunkel
2289,Ranunculus arvensis,Ager-ranunkel
2290,Ranunculus illyricus,-
2291,Ranunculus auricomus coll.,-
2292,Ranunculus cassubicus,-
2293,Ranunculus fallax,-
2294,Ranunculus monophyllus,-
2295,Ranunculus auricomus,Nyrebladet ranunkel
2296,Ranunculus pedatifidus,-
2297,Ranunculus pygmaeus,-
2298,Ranunculus pygmaeus x sulphureus,-
2299,Ranunculus nivalis,-
2300,Ranunculus nivalis x pygmaeus,-
2301,Ranunculus sulphureus,-
2302,Ranunculus hyperboreus,-
2303,Ranunculus sceleratus,Tigger-ranunkel
2304,Ranunculus sceleratus subsp. sceleratus,-
2305,Ranunculus sceleratus subsp. reptabundus,-
2306,Ranunculus lapponicus,-
2307,Ranunculus x spitsbergensis,-
2308,Ranunculus pallasii,-
2309,Ranunculus cymbalaria,-
2310,Ficaria verna,Vorterod
2311,Ficaria verna subsp. verna,Almindelig vorterod
2312,Ficaria verna subsp. fertilis,Limfjords-vorterod
2313,Ranunculus platanifolius,Lønbladet ranunkel
2314,Ranunculus glacialis,-
2315,Ranunculus flammula,Kær-ranunkel
2316,Ranunculus flammula subsp. flammula,-
2317,Ranunculus flammula subsp. scoticus,-
2318,Ranunculus flammula f. submersa,Kær-ranunkel (submers form)
2319,Ranunculus reptans,Krybende ranunkel
2320,Ranunculus reptans f. submersus,Krybende ranunkel (submers form)
2321,Ranunculus lingua,Langbladet ranunkel
2322,Ranunculus lingua f. submersa,Langbladet ranunkel (submers form)
2323,Ranunculus ophioglossifolius,-
2324,Ranunculus hederaceus,Vedbend-vandranunkel
2325,Batrachium,-
2326,Ranunculus peltatus subsp. baudotii,Strand-vandranunkel
2327,Ranunculus peltatus subsp. peltatus,Storblomstret vandranunkel (underart)
2328,Ranunculus penicillatus,Pensel-vandranunkel
2329,Ranunculus penicillatus subsp. pseudofluitans,Symes vandranunkel
2330,Ranunculus aquatilis var. aquatilis,Almindelig vandranunkel (varietet)
2331,Ranunculus aquatilis var. diffusus,Hårfliget vandranunkel
2332,Ranunculus confervoides,-
2333,Ranunculus circinatus,Kredsbladet vandranunkel
2334,Ranunculus fluitans,-
2335,Ranunculus affinis,-
2336,Ranunculus aquatilis x peltatus subsp. peltatus,-
2337,Ranunculus aquatilis x peltatus subsp. baudotii,-
2338,Ranunculus millefoliatus,-
2339,Ranunculus muricatus,Pigget ranunkel
2340,Ranunculus parviflorus,Småblomstret ranunkel
2341,Ranunculus peltatus subsp. baudotii x penicillatus subsp. pseudofluitans,-
2342,Ranunculus psilostachyus,-
2343,Ficaria,Vorterodslægten
2344,Myosurus,Musehaleslægten
2345,Myosurus minimus,Musehale
2346,Aquilegia,Akelejeslægten
2347,Aquilegia vulgaris,Akeleje
2348,Thalictrum,Frøstjerneslægten
2349,Thalictrum aquilegifolium,-
2350,Thalictrum alpinum,-
2351,Thalictrum minus,Liden frøstjerne
2352,Thalictrum minus subsp. minus,Bugtet frøstjerne
2353,Thalictrum minus subsp. arenarium,Sand-frøstjerne
2354,Thalictrum minus subsp. kemense,-
2355,Thalictrum simplex,Rank frøstjerne
2356,Thalictrum simplex subsp. simplex,-
2357,Thalictrum simplex subsp. boreale,-
2358,Thalictrum flavum,Gul frøstjerne
2359,Thalictrum lucidum,-
2360,Ceratocephala,-
2361,Ceratocephala testiculata,-
2362,Isopyrum,Frøstjerneanemoneslægten
2363,Isopyrum thalictroides,Frøstjerneanemone
2364,Anemonidium,Ranunkelanemoneslægten
2365,Anemonidium canadense,Ranunkelanemone
2366,Berberidaceaea,-
2367,Mahonia,Mahonieslægten
2368,Mahonia aquifolium,Almindelig mahonie
2369,Mahonia x decumbens,-
2370,Epimedium,Bispehue (Epimedium-slægten)
2371,Epimedium alpinum,Alpe-bispehue
2372,Epimedium pinnatum subsp. colchicum,Finnet bispehue
2373,Berberis,Berberisslægten
2374,Berberis vulgaris,Almindelig berberis
2375,Berberis thunbergii,Hæk-berberis
2376,Nymphaeaceae,Åkandefamilien
2377,Nymphaea,Nøkkeroseslægten
2378,Nymphaea alba,Hvid åkande
2379,Nymphaea alba subsp. alba,Hvid åkande (underart)
2380,Nymphaea alba subsp. candida,Liden nøkkerose
2381,Nymphaea alba subsp. occidentalis,-
2382,Nymphaea alba x tetragona,-
2383,Nymphaea tetragona,-
2384,Nymphaeaceae f. submersa,"åkande, submers"
2385,Nuphar,Åkandeslægten
2386,Nuphar lutea,Gul åkande
2387,Nuphar lutea f. submersa,Gul åkande (submers form)
2388,Nuphar lutea x pumila,-
2389,Nuphar pumila,Liden åkande
2390,Nuphar pumila f. submersa,Liden åkande (submers form)
2391,Nuphar japonica,Japansk åkande
2392,Ceratophyllaceae,Hornbladfamilien
2393,Ceratophyllum,Hornbladslægten
2394,Ceratophyllum demersum,Tornfrøet hornblad
2395,Ceratophyllum submersum,Tornløs hornblad
2396,Paeoniaceae,Pæonfamilien
2397,Paeonia,Pæonslægten
2398,Paeonia lactiflora,Silke-pæon
2399,Paeonia x festiva,-
2400,Piperaceae,Peberfamilien
2401,Peperomia,-
2402,Peperomia pellucida,-
2403,Sarraceniaceae,Trompetbladfamilien
2404,Sarracenia,Trompetbladslægten
2405,Sarracenia purpurea,Trompetblad
2406,Tropaeolaceae,Tropæolumfamilien
2407,Tropaeolum majus,Blomsterkarse
2408,Tropaeolum peregrinum,Sommerfuglekarse
2409,Tropaeolum,Tallerkensmækkerslægten
2410,Droseraceae,Soldugfamilien
2411,Drosera,Soldugslægten
2412,Drosera rotundifolia,Rundbladet soldug
2413,Drosera anglica,Langbladet soldug
2414,Drosera anglica x rotundifolia,-
2415,Drosera intermedia,Liden soldug
2416,Papaveraceae,Valmuefamilien
2417,Papaver,Valmueslægten
2418,Papaver somniferum,Opium-valmue
2419,Papaver rhoeas,Korn-valmue
2420,Papaver dubium,Gærde-valmue
2421,Papaver dubium x rhoeas,-
2422,Papaver argemone,Kølle-valmue
2423,Papaver hybridum,-
2424,Papaver atlanticum,Atlas-valmue
2425,Papaver orientale,Orientalsk valmue
2426,Papaver croceum,Sibirisk valmue
2427,Papaver lapponicum,-
2428,Papaver dahlianum,-
2429,Papaver radicatum coll.,-
2430,Papaver radicatum,-
2431,Papaver radicatum subsp. relictum,-
2432,Papaver radicatum subsp. ovatilobum,-
2433,Papaver radicatum subsp. hyperboreum,-
2434,Papaver radicatum subsp. faeroense,-
2435,Papaver radicatum subsp. islandicum,-
2436,Papaver radicatum subsp. subglobosum,-
2437,Papaver radicatum subsp. macrostigma,-
2438,Papaver radicatum subsp. oeksendalense,-
2439,Papaver radicatum subsp. avkoense,-
2440,Papaver laestadianum,-
2441,Papaver bivalve subsp. hybridum,-
2442,Papaver setiferum,Kæmpe-valmue
2443,Meconopsis,-
2444,Papaver cambricum,Skov-valmue
2445,Glaucium,Hornskulpeslægten
2446,Glaucium flavum,Hornskulpe
2447,Glaucium corniculatum,Rød hornskulpe
2448,Chelidonium,Svaleurtslægten
2449,Chelidonium majus,Svaleurt
2450,Chelidonium majus var. majus,Almindelig svaleurt
2451,Chelidonium majus var. laciniatum,Fliget svaleurt
2452,Eschscholzia,Guldvalmueslægten
2453,Eschscholzia californica,Guldvalmue
2454,Dicentra,Småhjerteslægten
2455,Dicentra formosa,Småhjerte
2456,Corydalis,Lærkespore (Corydalis-slægten)
2457,Ceratocapnos claviculata,Klatrende lærkespore
2458,Pseudofumaria lutea,Gul lærkespore
2459,Corydalis nobilis,Stor lærkespore
2460,Corydalis sempervirens,-
2461,Corydalis cava,Hulrodet lærkespore
2462,Corydalis intermedia,Liden lærkespore
2463,Corydalis pumila,Finger-lærkespore
2464,Corydalis solida,Langstilket lærkespore
2465,Corydalis solida subsp. solida,-
2466,Corydalis solida subsp. laxa,-
2467,Corydalis capnoides,-
2468,Corydalis intermedia x solida,-
2469,Corydalis ophiocarpa,-
2470,Fumaria,Jordrøgslægten
2471,Fumaria capreolata,Klatrende jordrøg
2472,Fumaria muralis,Mur-jordrøg
2473,Fumaria muralis subsp. boraei,-
2474,Fumaria densiflora,-
2475,Fumaria officinalis,Læge-jordrøg
2476,Fumaria vaillantii,Smalfliget jordrøg
2477,Fumaria parviflora,Småblomstret jordrøg
2478,Fumaria schleicheri,Mørk jordrøg
2479,Argemone,Pigvalmueslægten
2480,Argemone mexicana,Mexicansk pigvalmue
2481,Macleaya x kewensis,-
2482,Macleaya,Myreægsblomstslægten
2483,Fumariaceae,-
2484,Ceratocapnos,Lærkespore (Ceratocapnos-slægten)
2485,Hypecoum,Seglskulpeslægten
2486,Hypecoum pendulum,Seglskulpe
2487,Lamprocapnos,Løjtnantshjerteslægten
2488,Lamprocapnos spectabilis,Løjtnantshjerte
2489,Pseudofumaria,Lærkespore (Pseudofumaria-slægten)
2490,Limnanthaceae,Sumpblomstfamilien
2491,Limnanthes,-
2492,Limnanthes douglasii,Sumpblomst
2493,Brassicaceae,Korsblomstfamilien
2494,Sisymbrium,Vejsennep (Sisymbrium-slægten)
2495,Erucastrum supinum,Kalksennep
2496,Sisymbrium strictissimum,Stiv vejsennep
2497,Sisymbrium irio,Glat vejsennep
2498,Sisymbrium loeselii,Stivhåret vejsennep
2499,Sisymbrium volgense,Volga-vejsennep
2500,Sisymbrium austriacum,Donau-vejsennep
2501,Sisymbrium altissimum,Ungarsk vejsennep
2502,Sisymbrium orientale,Orientalsk vejsennep
2503,Sisymbrium officinale,Rank vejsennep
2504,Sisymbrium officinale var. officinale,-
2505,Sisymbrium officinale var. leiocarpum,-
2506,Sisymbrium polyceratium,Middelhavs-vejsennep
2507,Descurainia,Vejsennep (Descurainia-slægten)
2508,Descurainia sophia,Finbladet vejsennep
2509,Descurainia richardsonii,-
2510,Descurainia pinnata,-
2511,Alliaria,Løgkarseslægten
2512,Alliaria petiolata,Løgkarse
2513,Eutrema,-
2514,Eutrema edwardsii,-
2515,Braya,-
2516,Braya linearis,-
2517,Braya purpurascens,-
2518,Myagrum,Huldodderslægten
2519,Myagrum perfoliatum,Huldodder
2520,Isatis,Vajdslægten
2521,Isatis tinctoria,Farve-vajd
2522,Bunias,Takkeklapslægten
2523,Bunias orientalis,Takkeklap
2524,Bunias erucago,Ager-takkeklap
2525,Erysimum,Hjørneklapslægten
2526,Erysimum odoratum,-
2527,Erysimum strictum,Rank hjørneklap
2528,Erysimum repandum,Udspærret hjørneklap
2529,Erysimum cheiranthoides,Gyldenlak-hjørneklap
2530,Erysimum cheiranthoides subsp. cheiranthoides,-
2531,Erysimum cheiranthoides subsp. altum,-
2532,Erysimum × marshallii,-
2533,Erysimum cheiri,Gyldenlak
2534,Erysimum crepidifolium,-
2535,Hesperis,Aftenstjerneslægten
2536,Hesperis tristis,Natviol
2537,Hesperis matronalis,Aftenstjerne
2538,Malcolmia,Strandlevkøjslægten
2539,Malcolmia africana,-
2540,Malcolmia maritima,Strandlevkøj
2541,Matthiola,Levkøjslægten
2542,Matthiola longipetala,Natlevkøj
2543,Chorispora,-
2544,Chorispora tenella,Hønseræddike
2545,Euclidium,Næbdodderslægten
2546,Euclidium syriacum,Næbdodder
2547,Barbarea,Vinterkarseslægten
2548,Barbarea vulgaris,Almindelig vinterkarse
2549,Barbarea vulgaris var. vulgaris,Almindelig vinterkarse (varietet)
2550,Barbarea vulgaris var. arcuata,Udspærret vinterkarse
2551,Barbarea stricta,Rank vinterkarse
2552,Barbarea verna,Langskulpet vinterkarse
2553,Barbarea intermedia,Randhåret vinterkarse
2554,Rorippa,Guldkarseslægten
2555,Nasturtium officinale,Tykskulpet brøndkarse
2556,Nasturtium microphyllum,Tyndskulpet brøndkarse
2557,Rorippa microphylla x nasturtium-aquaticum,-
2558,Rorippa islandica,-
2559,Rorippa palustris,Kær-guldkarse
2560,Rorippa palustris x sylvestris,-
2561,Rorippa sylvestris,Vej-guldkarse
2562,Rorippa amphibia,Vandpeberrod
2563,Rorippa amphibia f. submersa,Vandpeberrod (submers form)
2564,Rorippa amphibia x austriaca,-
2565,Rorippa amphibia x sylvestris,-
2566,Rorippa austriaca,Østrigsk guldkarse
2567,Rorippa austriaca x sylvestris,-
2568,Armoracia,Peberrodslægten
2569,Armoracia rusticana,Peberrod
2570,Cardamine,Springklapslægten
2571,Cardamine bulbifera,Tandrod
2572,Cardamine amara,Vandkarse
2573,Cardamine pratensis,Engkarse
2574,Cardamine pratensis subsp. pratensis,Almindelig engkarse
2575,Cardamine pratensis subsp. polemonioides,-
2576,Cardamine pratensis subsp. paludosa,Sumpkarse
2577,Cardamine bellidifolia,-
2578,Cardamine parviflora,-
2579,Cardamine impatiens,Kronløs springklap
2580,Cardamine flexuosa,Skov-springklap
2581,Cardamine hirsuta,Roset-springklap
2582,Cardamine flexuosa x pratensis,-
2583,Arabis,Kalkkarseslægten
2584,Arabidopsis,Gåsemadslægten
2585,Cardaminopsis,-
2586,Arabidopsis thaliana,Almindelig gåsemad
2587,Arabidopsis suecica,Svensk gåsemad
2588,Arabidopsis arenosa,Sandkarse
2589,Cardaminopsis petraea,-
2590,Cardaminopsis halleri,-
2591,Turritis glabra,Tårnurt
2592,Arabis planisiliqua,-
2593,Arabis borealis,-
2594,Arabis hirsuta,Stivhåret kalkkarse
2595,Arabis hirsuta var. hirsuta,Stivhåret kalkkarse (varietet)
2596,Arabis hirsuta var. glaberrima,Glat kalkkarse
2597,Arabis corymbiflora,-
2598,Arabis pendula,-
2599,Arabis alpina,Fjeld-kalkkarse
2600,Arabis alpina var. alpina,-
2601,Arabis alpina var. glabrata,-
2602,Arabis caucasica,Hvid kalkkarse
2603,Arabis ciliata,Nikkende kalkkarse
2604,Lunaria,Måneskulpeslægten
2605,Lunaria rediviva,Vedvarende måneskulpe
2606,Lunaria annua,Judaspenge
2607,Alyssum,Krognålslægten
2608,Alyssum alyssoides,Grådodder
2609,Alyssum desertorum,Steppe-grådodder
2610,Alyssum hirsutum,-
2611,Aurinia saxatilis,Guldslør
2612,Alyssum murale,Sølv-krognål
2613,Alyssum campestre,-
2614,Alyssum montanum,Liden krognål
2615,Berteroa,Kløvpladeslægten
2616,Berteroa incana,Kløvplade
2617,Lobularia,Biblommeslægten
2618,Lobularia maritima,Biblomme
2619,Draba,Drabaslægten
2620,Draba alpina,-
2621,Draba alpina x cacuminum,-
2622,Draba alpina x fladnizensis,-
2623,Draba alpina x daurica,-
2624,Draba alpina x lactea,-
2625,Draba alpina x norvegica,-
2626,Draba oxycarpa,-
2627,Draba adamsii,-
2628,Draba nivalis,-
2629,Draba nivalis x norvegica,-
2630,Draba norvegica,-
2631,Draba subcapitata,-
2632,Draba cacuminum,-
2633,Draba fladnizensis,-
2634,Draba fladnizensis x nivalis,-
2635,Draba fladnizensis x norvegica,-
2636,Draba fladnizensis x daurica,-
2637,Draba fladnizensis x lactea,-
2638,Draba lactea,-
2639,Draba lactea x nivalis,-
2640,Draba lactea x norvegica,-
2641,Draba daurica,-
2642,Draba daurica x incana,-
2643,Draba daurica x nivalis,-
2644,Draba daurica x norvegica,-
2645,Draba cinerea,-
2646,Draba dovrensis,-
2647,Draba incana,Hvidgrå draba
2648,Draba incana x norvegica,-
2649,Draba muralis,Mur-draba
2650,Draba nemorosa,-
2651,Draba crassifolia,-
2652,Erophila,-
2653,Draba verna,Vår-gæslingeblomst
2654,Cochlearia,Kokleareslægten
2655,Cochlearia danica,Dansk kokleare
2656,Cochlearia officinalis,Læge-kokleare
2657,Cochlearia officinalis subsp. officinalis,Læge-kokleare (underart)
2658,Cochlearia officinalis subsp. anglica,Engelsk kokleare
2659,Cochlearia fenestrata,-
2660,Cochlearia groenlandica,-
2661,Cochlearia anglica x officinalis,-
2662,Camelina,Dodderslægten
2663,Camelina sativa,Sæd-dodder
2664,Camelina sativa subsp. sativa,Sæd-dodder (underart)
2665,Camelina sativa subsp. zingeri,Russisk dodder
2666,Camelina microcarpa,Småskulpet dodder
2667,Camelina alyssum subsp. alyssum,Hjerteskulpet dodder (underart)
2668,Camelina alyssum subsp. integerrima,Helbladet dodder
2669,Camelina microcarpa subsp. microcarpa,-
2670,Neslia,Rundskulpeslægten
2671,Neslia paniculata,Rundskulpe
2672,Neslia paniculata subsp. paniculata,-
2673,Neslia paniculata subsp. thracica,-
2674,Capsella,Hyrdetaskeslægten
2675,Capsella bursa-pastoris,Hyrdetaske
2676,Hornungia,Stenkarseslægten
2677,Hornungia petraea,Stenkarse
2678,Teesdalia,Flipkraveslægten
2679,Teesdalia nudicaulis,Flipkrave
2680,Thlaspi,Pengeurtslægten
2681,Thlaspi arvense,Almindelig pengeurt
2682,Microthlaspi perfoliatum,Hjertebladet pengeurt
2683,Thlaspi alpestre,-
2684,Noccaea caerulescens,Alpepengeurt
2685,Thlaspi alpestre subsp. brachypetalum,-
2686,Iberis,Sløjfeblomstslægten
2687,Iberis amara,Hvid sløjfeblomst
2688,Iberis umbellata,Skærm-sløjfeblomst
2689,Iberis sempervirens,Snepude
2690,Lepidium,Karseslægten
2691,Lepidium campestre,Salomons lysestage
